,title,Critic Score,Audience_Score,Genre,director,studio
0,HALLOWEEN,79,76,Horror,David Gordon Green,Universal Pictures
1,A STAR IS BORN,90,84,Drama,Bradley Cooper,Warner Bros. Pictures
2,VENOM,30,87,Drama,Ruben Fleischer,Columbia Pictures
3,GOOSEBUMPS 2: HAUNTED HALLOWEEN,47,54,Horror,Ari Sandel,Columbia Pictures
4,FIRST MAN,88,63,Drama,Damien Chazelle,Universal Pictures
5,THE HATE U GIVE,97,75,Drama,George Tillman Jr.,20th Century Fox
6,SMALLFOOT,75,67,Action & Adventure,Karey Kirkpatrick,Warner Bros. Pictures
7,NIGHT SCHOOL,28,47,Comedy,Malcolm D. Lee,Universal Pictures
8,BAD TIMES AT THE EL ROYALE,73,75,Mystery & Suspense,Drew Goddard,20th Century Fox
9,THE OLD MAN & THE GUN,90,62,Drama,David Lowery,Fox Searchlight Pictures
10,THE HOUSE WITH A CLOCK IN ITS WALLS,66,48,Kids & Family,Eli Roth,Universal Pictures
11,FREE SOLO,98,95,Documentary,Elizabeth Chai Vasarhelyi,Greenwich Entertainment
12,THE SISTERS BROTHERS,85,64,Drama,Jacques Audiard,Annapurna Pictures
13,COLETTE,87,75,Drama,Wash Westmoreland,Bleecker Street and 30WEST
14,CRAZY RICH ASIANS,91,80,Comedy,Jon M. Chu,Warner Bros. Pictures
15,THE NUN,26,40,Horror,Corin Hardy,Warner Bros. Pictures
16,BEAUTIFUL BOY,67,77,Drama,Felix Van Groeningen,Amazon Studios
17,A SIMPLE FAVOR,85,79,Drama,Felix Van Groeningen,Amazon Studios
18,MID90S,78,87,Comedy,Jonah Hill,A24
19,THE OATH,59,60,Comedy,Jonah Hill,A24
20,INCREDIBLES 2,94,87,Action & Adventure,Brad Bird,Disney/Pixar
21,CAN YOU EVER FORGIVE ME?,99,91,Drama,Marielle Heller,Fox Searchlight Pictures
22,THE MEG,45,49,Action & Adventure,Jon Turteltaub,Warner Bros. Pictures
23,HOTEL TRANSYLVANIA 3: SUMMER VACATION,58,48,Animation,Genndy Tartakovsky,Columbia Pictures / Sony Pictures Animation
24,THE WIFE,85,80,Drama,Björn Runge,Sony Pictures Classics
25,PEPPERMINT,9,76,Mystery & Suspense,Pierre Morel,STXfilms
26,THE PREDATOR,32,43,Action & Adventure,Shane Black,20th Century Fox
