title,imdb_user_rating,imdb_critic_rating
Halloween (2018),7.3,67
A Star Is Born (2018),8.3,88
Venom (2018),7,35
Goosebumps 2: Haunted Halloween (2018),6,53
First Man (2018),7.7,84
The Hate U Give (2018),6.7,82
Smallfoot (2018),6.8,60
Night School (2018),5.5,43
Bad Times at the El Royale (2018),7.4,60
The Old Man & the Gun (2018),7.4,79
The House with a Clock in Its Walls (2018),6.2,57
Free Solo (2018),8.7,83
The Sisters Brothers (2018),7.2,78
Colette (2018),7,74
Crazy Rich Asians (2018),7.5,74
The Nun (2018),5.7,46
Beautiful Boy (2018),7.3,63
A Simple Favor (2018),7.1,67
Mid90s (2018),7.8,67
The Oath (2018),5.2,58
Incredibles 2 (2018),8,80
Can You Ever Forgive Me? (2018),7.2,88
The Meg (2018),5.9,46
Hotel Transylvania 3: Summer Vacation (2018),6.3,54
The Wife (2017),7.3,77
Peppermint (2018),6.6,29
The Predator (2018),5.9,48
Christopher Robin (2018),7.6,60
The Guilty (2018),7.8,82
The Happy Prince (2018),6.4,64
Alpha (2018),6.9,63
Ant-Man and the Wasp (2018),7.2,70
Fahrenheit 11/9 (2018),5.6,68
Slender Man (2018),3.1,30
White Boy Rick (2018),6.5,59
Studio 54 (2018),6.9,70
Mandy (2018),6.7,81
What They Had (2018),5.9,70
Unbroken: Path to Redemption (2018),5.8,38
Monsters and Men (2018),5.8,67
1945 (2017),7.3,75
Wings of Desire (1987),8.1,79
Searching (2018),7.8,71
"Love, Gilda (2018)",7,74
Matangi/Maya/M.I.A. (2018),7.7,68
"Juliet, Naked (2018)",6.9,67
Pick of the Litter (2018),7.6,67
Mad Max: Fury Road (2015),8.1,90
Wonder Woman (2017),7.5,76
Logan (2017),8.1,77
Star Wars: The Force Awakens (2015),8,81
Baby Driver (2017),7.6,86
Zootopia (2016),8,78
Seven Samurai (1954),8.7,98
Up (2009),8.3,88
Lawrence of Arabia (1962),8.3,100
War for the Planet of the Apes (2017),7.5,82
Spider-Man: Homecoming (2017),7.5,73
Captain America: Civil War (2016),7.8,75
Moana (2016),7.6,81
Aliens (1986),8.4,84
The Lego Movie (2014),7.8,83
WALL·E (2008),8.4,95
Star Wars: Episode IV - A New Hope (1977),8.6,90
Kubo and the Two Strings (2016),7.8,84
Mission: Impossible - Rogue Nation (2015),7.4,75
The African Queen (1951),7.9,91
The Avengers (2012),8.1,69
Star Wars: Episode V - The Empire Strikes Back (1980),8.8,82
The French Connection (1971),7.8,96
Hunt for the Wilderpeople (2016),7.9,81
Iron Man (2008),7.9,79
All Is Lost (2013),6.9,87
Assault on Precinct 13 (1976),7.4,89
No Country for Old Men (2007),8.1,91
The Lord of the Rings: The Two Towers (2002),8.7,87
Looper (2012),7.4,84
The Right Stuff (1983),7.9,91
The Fugitive (1993),7.8,87
"Crouching Tiger, Hidden Dragon (2000)",7.9,93
Who Framed Roger Rabbit (1988),7.7,83
One False Move (1992),7.2,87
Catch Me If You Can (2002),8.1,75
Sicario (2015),7.6,82
In the Line of Fire (1993),7.2,74
Dr. No (1962),7.3,78
Raiders of the Lost Ark (1981),8.5,85
X-Men: Days of Future Past (2014),8,75
From Russia with Love (1963),7.5,85
Apollo 13 (1995),7.6,77
Superman (1978),7.3,80
Embrace of the Serpent (2015),7.9,82
The Lord of the Rings: The Return of the King (2003),8.9,94
Close Encounters of the Third Kind (1977),7.7,90
The Curse of the Were-Rabbit (2005),7.5,87
The Bourne Ultimatum (2007),8,85
Spider-Man 2 (2004),7.3,83
Hero (2002),7.9,85
Enter the Dragon (1973),7.7,83
Drive (2011),7.8,78
Inside Out (2015),8.2,94
Snow White and the Seven Dwarfs (1937),7.6,95
Toy Story 3 (2010),8.3,92
Toy Story 2 (1999),7.9,88
Finding Nemo (2003),8.1,90
Pinocchio (1940),7.5,99
Finding Dory (2016),7.3,77
Toy Story (1995),8.3,95
Shaun the Sheep Movie (2015),7.4,81
Ratatouille (2007),8,96
Only Yesterday (1991),7.7,90
How to Train Your Dragon (2010),8.1,74
The Incredibles (2004),8,90
Yellow Submarine (1968),7.4,78
Chicken Run (2000),7,88
Beauty and the Beast (2017),7.2,65
My Life as a Zucchini (2016),7.8,85
101 Dalmatians (1996),5.7,49
The Nightmare Before Christmas (1993),8,82
"Monsters, Inc. (2001)",8.1,78
The Lego Batman Movie (2017),7.3,75
The Iron Giant (1999),8,85
Song of the Sea (2014),8.1,85
Tower (2016),8,92
The Lion King (1994),8.5,83
Anomalisa (2015),7.3,88
Your Name. (2016),8.4,79
Waltz with Bashir (2008),8,91
Persepolis (2007),8.1,90
The Red Turtle (2016),7.5,86
The Secret World of Arrietty (2010),7.6,80
Aladdin (1992),8,86
Ernest & Celestine (2012),7.9,86
Fantastic Mr. Fox (2009),7.8,83
Antz (1998),6.6,72
Frozen (2013),7.5,74
Ghost in the Shell (2017),6.4,52
Coraline (2009),7.7,80
How to Train Your Dragon 2 (2014),7.8,76
Big Hero 6 (2014),7.8,74
A Bug's Life (1998),7.2,77
Arthur Christmas (2011),7.1,69
Boy and the World (2013),7.6,80
Ponyo (2008),7.7,86
Bolt (2008),6.9,67
Tangled (2010),7.8,71
The Simpsons Movie (2007),7.3,80
Shrek (2001),7.9,84
Shrek 2 (2004),7.2,75
The Wind Rises (2013),7.8,83
Frankenweenie (2012),7,74
When Marnie Was There (2014),7.7,72
The Peanuts Movie (2015),7.1,67
Kung Fu Panda (2008),7.6,73
Rango (2011),7.2,75
Corpse Bride (2005),7.4,83
Sausage Party (2016),6.2,66
Mulan (1998),7.6,71
Lilo & Stitch (2002),7.2,73
The Emperor's New Groove (2000),7.3,70
Chico & Rita (2010),7.2,76
Puss in Boots (2011),6.6,65
Anastasia (1997),7.1,59
Brave (2012),7.1,69
Get Out (2017),7.7,84
All About Eve (1950),8.3,98
It Happened One Night (1934),8.1,87
Modern Times (1936),8.5,96
Singin' in the Rain (1952),8.3,99
The Big Sick (2017),7.6,86
A Hard Day's Night (1964),7.7,96
The Philadelphia Story (1940),8,96
La La Land (2016),8.1,93
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.4,96
Cool Hand Luke (1967),8.1,91
Monty Python and the Holy Grail (1975),8.3,93
Paterson (2016),7.4,90
Before Midnight (2013),7.9,94
It's a Wonderful Life (1946),8.6,89
La Dolce Vita (1960),8.1,93
To Be or Not to Be (1942),8.2,86
Annie Hall (1977),8,92
Love & Friendship (2016),6.4,87
Mary Poppins (1964),7.8,88
The Artist (2011),7.9,89
The Nice Guys (2016),7.4,70
Paddington (2014),7.2,77
Spy (2015),7,75
Logan Lucky (2017),7,78
Airplane! (1980),7.8,78
The Player (1992),7.6,86
The Princess Bride (1987),8.1,77
Some Like It Hot (1959),8.3,97
Big (1988),7.3,73
Don't Think Twice (2016),6.7,83
Life of Brian (1979),8.1,75
Before Sunrise (1995),8.1,77
Back to the Future (1985),8.5,87
The Grand Budapest Hotel (2014),8.1,88
Groundhog Day (1993),8,72
Sideways (2004),7.5,94
Tangerine (2015),7.1,85
The Edge of Seventeen (2016),7.4,77
What We Do in the Shadows (2014),7.6,76
Bull Durham (1988),7.1,73
Moonrise Kingdom (2012),7.8,84
