Critic.Score,Audience_Score,imdb_user_rating,imdb_critic_rating,studio
79,76,7.2,76,Cinerez
90,84,5.7,49,Katapult Film
30,87,8.1,96,Bad Robot Productions
47,54,7.3,75,Buena Vista
88,63,7.4,83,Criterion Collection
97,75,7.5,83,Foremco
75,67,7.6,73,Fox Searchlight
28,47,8.2,84,Radius-TWC
73,75,7.5,77,Drafthouse Films
90,62,7.2,77,Overture Films
66,48,6.3,73,First Run Features
98,95,7,81,Drafthouse Films
85,64,7.7,96,Buena Vista Pictures
87,75,7.5,76,Drafthouse Films
91,80,7.1,67,Vice Films
26,40,8.3,88,Amazon Studios
67,77,8,96,Miramax
85,79,7.3,78,New Line Cinema
78,87,7.8,78,Amazon Studios
59,60,8,86,Warner Bros. Pictures
94,87,8.5,83,Zenith International Films
99,91,8.4,84,Zeitgeist Films
45,49,8.3,98,Buena Vista
58,48,6.9,87,Streamline Pictures
85,80,6.9,63,Buena Vista Distribution Compa
9,76,6.9,58,Touchstone Pictures
32,43,8.3,93,20th Century Fox
71,86,7.6,60,20th Century Fox Film Corporat
98,100,7.1,59,Universal Pictures
72,71,8,92,Rialto Pictures
81,74,7.3,88,RKO Radio Pictures
88,79,7.2,70,Buena Vista
80,57,6.6,72,Lionsgate/Roadside Attractions
8,20,7.9,82,Sony Pictures
59,55,8.5,94,IFC Films
90,82,7.6,77,Warner Bros. Pictures
92,70,7.7,86,A24 Films
87,100,8.2,99,Universal Pictures
39,86,7.9,81,20th Century Fox
83,86,7.1,69,Sony Pictures Home Entertainment
97,83,7.4,89,K5 International
33,82,7.6,86,United Artists
98,94,8.5,87,Starburns Industries
93,89,6,62,Walt Disney Pictures
88,86,7.4,60,Dreamworks
87,94,7.3,63,Fox Searchlight
83,88,7.2,65,Twentieth Century Fox
100,91,7.5,69,Universal Pictures
97,85,7.9,94,Warner Bros. Pictures
93,88,8.1,77,Rialto Pictures LLC.
93,90,7.7,78,21 Laps Entertainment
93,87,8.3,83,Sony Pictures
93,86,7.3,73,Turtle Releasing
97,92,7.8,74,Warner Bros.
100,97,7.9,76,Sony Pictures
98,90,7.6,81,Universal Pictures
95,86,7.1,77,IFC Films
98,93,7.8,76,20th Century Fox
93,84,6.9,67,Warner Bros. Pictures
92,88,7.1,72,RKO Radio Pictures
91,89,7.6,80,Kino International
96,89,7.9,100,K5 International
99,94,7.5,57,Amazon Studios
96,87,7.1,69,Buena Vista
96,89,8,88,20th Century Fox
93,96,7.6,81,Lopert Pictures
97,86,7.2,84,Warner Bros. Pictures
93,87,7.5,87,Drafthouse Recommends
98,86,7.6,81,Loew's Inc.
92,91,7.1,73,Sony Pictures Home Entertainment
95,97,6.4,47,Independent Films
98,87,7.3,77,ENIC
97,91,7.2,88,Paramount Pictures
93,91,7.8,75,Walt Disney Pictures
94,63,7.2,95,Zeitgeist Films
98,80,7.4,85,Miramax Films
93,86,8.5,100,MGM
95,95,8,80,MGM
93,82,8.1,75,Walt Disney Pictures
98,90,7,88,Image Entertainment
96,89,7.2,76,GKIDS
97,86,7.9,84,IFC Films
97,84,8.2,92,Walt Disney Pictures
98,85,7.6,60,Universal Pictures
98,86,7.1,69,Dreamworks Pictures
98,75,8.4,100,Turner Home Entertainment
96,89,7.7,90,Twentieth Century Fox Home Entertainment
92,85,7,74,Fox Searchlight Pictures
96,79,8.1,91,Artisan Entertainment
96,82,7.7,80,Orion Pictures
95,96,7.4,83,Adopt Films
89,91,7.3,83,Fox Searchlight Pictures
96,83,7.5,74,Walt Disney Pictures
95,87,7.6,82,The Weinstein Company
94,86,6.7,70,United Artists
96,84,7.9,93,Warner Bros. Pictures
93,86,8,93,Open Road Films
95,85,7.2,84,Sony
95,79,7.3,59,DreamWorks SKG
98,92,7.1,71,Dreamworks Pictures
92,91,7.3,73,GKIDS
94,91,6.7,83,Universal Pictures
93,93,8.3,95,Paramount Pictures
93,82,7.3,78,Walt Disney Pictures
95,87,8.4,96,Netflix
96,92,6.6,83,Warner Bros. Pictures
92,79,7.1,74,RKO Radio Pictures
98,89,7.8,78,New Line Cinema
98,78,8,94,Sony Pictures Releasing
99,89,7.9,82,Bleecker Street and 30WEST
100,86,8,74,Warner Bros. Pictures
99,86,7,78,Warner Bros.
100,72,7.7,83,Focus Features
94,84,7.9,86,New Line Cinema
100,92,7.6,69,Warner Bros. Pictures
99,80,7.8,69,Warner Bros.
96,87,7.7,78,Trimark
100,86,8,85,Sony Pictures Classics
98,91,7.3,73,Paramount Pictures
97,75,7.8,90,Rogue Pictures
97,84,5.6,68,A24
97,64,7.8,83,Kino Lorber Inc.
94,92,7.3,77,Rialto Pictures
98,87,8.1,90,Rialto Pictures
98,75,7.7,84,A24
95,91,7.5,85,Paramount Pictures
96,83,6.8,71,The Film Arcade
96,90,9,90,Paramount Pictures
90,80,7,74,United Artists
96,90,8.7,83,Walt Disney Pictures
99,92,7.5,85,Sony Pictures
99,89,7.5,74,Universal Pictures
97,84,6.6,77,Universal Pictures
93,93,7.7,84,Warner Bros. Pictures
92,70,6.4,52,FilmDistrict
97,94,6.8,70,Paramount Pictures
96,90,6.4,62,Rialto Pictures
96,92,7.7,87,Buffalo Films
94,80,8.1,79,Magnolia Pictures
95,85,8.2,97,s
94,92,6.7,81,Warner Home Video
97,88,6,53,Buena Vista Distribution Compa
92,85,7.7,96,Pale Griot Films
94,52,7.2,70,Picturehouse
90,85,8,72,A24 Films
96,89,6.7,81,Abarorama
90,73,7.3,67,Buena Vista
93,80,8.1,87,MGM/UA Classics
90,73,7.8,85,Saguenay Films
91,89,7.6,88,Briarcliff Entertainment
93,94,7,80,Walt Disney Productions
89,91,8,90,Buena Vista Distribution Compa
92,88,7.9,85,Walt Disney Pictures/PIXAR
92,72,7.8,74,Walt Disney Pictures
92,76,6.3,54,Universal Pictures
95,77,8.1,74,Columbia Pictures
95,92,7.8,76,BBC Films
92,65,7.9,81,Universal Pictures Company
91,83,7.8,95,Walt Disney Pictures
89,73,7.5,75,Bryanston Pictures
89,87,7.2,74,Greenwich Entertainment
88,77,8,80,United Artists
88,90,8.2,94,Walt Disney Pictures
88,69,8.1,81,20th Century Fox
88,85,7.4,75,Netflix
87,70,7.9,79,Universal Pictures
91,80,6.2,78,Palm Pictures
91,88,6.9,83,Columbia Pictures
87,76,8.1,87,20th Century Fox
87,82,8.6,89,Rialto Pictures
90,79,8,87,Buena Vista
87,69,7,70,20th Century Fox
87,90,6.9,67,Loew's Inc.
84,77,8.1,68,Radius-TWC
82,50,7.7,77,Columbia Pictures
86,85,7.2,81,Warner Bros. Pictures
86,77,7.8,84,Warner Bros. Pictures
85,83,7.6,73,Fox Searchlight
87,77,8.3,90,New Line Home Entertainment
84,67,8.1,93,New Line Cinema
85,77,8.1,93,Universal Pictures
79,76,8.1,84,Compass International Pictures
99,86,8.3,100,Warner Bros. Pictures
100,94,7.1,79,New Line Cinema
98,93,7.9,82,Foremco
100,95,5.8,21,GreyCat Films
100,95,8.1,75,Warner Bros. Pictures
98,88,7.2,73,Miramax Films
98,89,8.1,77,K5 International
100,93,7,78,Kino International
91,81,7.4,84,Columbia Pictures / Sony Pictures Animation
99,94,8,86,Paramount/DWA
100,95,7.8,89,20th Century Fox
