,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,budget,grossUSA
0,Halloween (2018),73.0,67,79,76,10000000 ,126075470
1,A Star Is Born (2018),83.0,88,90,84,nan,148614479
2,Venom (2018),70.0,35,30,87,100000000 ,187134695
3,First Man (2018),77.0,84,88,63,60000000 ,37808655
4,The Hate U Give (2018),67.0,82,97,75,nan,18301864
5,Smallfoot (2018),68.0,60,75,67,nan,72602664
6,Night School (2018),55.0,43,28,47,29000000 ,71433050
7,Bad Times at the El Royale (2018),74.0,60,73,75,32000000 ,16548243
8,The Old Man & the Gun (2018),74.0,79,90,62,nan,7177129
9,The House with a Clock in Its Walls (2018),62.0,57,66,48,42000000 ,66523980
10,Free Solo (2018),87.0,83,98,95,nan,4116332
11,The Sisters Brothers (2018),72.0,78,85,64,nan,2749543
12,Colette (2018),70.0,74,87,75,nan,4411936
13,Crazy Rich Asians (2018),75.0,74,91,80,30000000 ,172825178
14,The Nun (2018),57.0,46,26,40,22000000 ,117060762
15,Beautiful Boy (2018),73.0,63,67,77,nan,1495815
16,A Simple Favor (2018),71.0,67,85,79,20000000 ,53225905
17,Mid90s (2018),78.0,67,78,87,nan,3330676
18,The Oath (2018),52.0,58,59,60,nan,387391
19,Incredibles 2 (2018),80.0,80,94,87,200000000 ,607899050
20,Can You Ever Forgive Me? (2018),72.0,88,99,91,nan,586504
21,The Meg (2018),59.0,46,45,49,130000000 ,142976043
22,Hotel Transylvania 3: Summer Vacation (2018),63.0,54,58,48,nan,167321691
23,The Wife (2017),73.0,77,85,80,nan,7608506
24,Peppermint (2018),66.0,29,9,76,nan,35400097
25,The Predator (2018),59.0,48,32,43,88000000 ,50923296
26,Christopher Robin (2018),76.0,60,71,86,75000000 ,98835109
27,The Guilty (2018),78.0,82,98,100,nan,129694
28,The Happy Prince (2018),64.0,64,72,71,nan,223990
29,Alpha (2018),69.0,63,81,74,51000000 ,35759226
30,Ant-Man and the Wasp (2018),72.0,70,88,79,162000000 ,216640060
31,Fahrenheit 11/9 (2018),56.0,68,80,57,nan,6319606
32,Slender Man (2018),31.0,30,8,20,10000000 ,30564825
33,White Boy Rick (2018),65.0,59,59,55,nan,23977154
34,Studio 54 (2018),69.0,70,90,82,nan,129074
35,Mandy (2018),67.0,81,92,70,6000000 ,1170185
36,What They Had (2018),59.0,70,87,100,nan,85565
