,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,Genre,budget,grossUSA,realgrossUSA
0,Halloween (2018),7.3,67,79,76,Horror,"Budget:$10,000,000 (estimated)","Opening Weekend USA: $76,221,545, 21 October 2018, Wide Release","Gross USA: $126,075,470, 28 October 2018"
1,A Star Is Born (2018),8.3,88,90,84,Drama,"Opening Weekend USA: $42,908,051, 7 October 2018, Wide Release","Gross USA: $148,614,479, 28 October 2018","Production Co: Warner Bros. Pictures,Live Nation Productions,Metro-Goldwyn-Mayer (MGM) See more »"
2,Venom (2018),7,35,30,87,Drama,"Budget:$100,000,000 (estimated)","Opening Weekend USA: $80,255,756, 7 October 2018, Wide Release","Gross USA: $187,134,695, 28 October 2018"
3,First Man (2018),7.7,84,88,63,Drama,"Budget:$60,000,000 (estimated)","Opening Weekend USA: $16,006,065, 14 October 2018, Wide Release","Gross USA: $37,808,655, 28 October 2018"
4,The Hate U Give (2018),6.7,82,97,75,Drama,"Gross USA: $18,301,864, 28 October 2018","Production Co: Fox 2000 Pictures,State Street Pictures,Temple Hill Entertainment See more »",Show more on IMDbPro »
5,Smallfoot (2018),6.8,60,75,67,Action & Adventure,"Gross USA: $72,602,664, 28 October 2018","Production Co: Warner Animation Group,Warner Bros. Animation,Warner Bros. See more »",Show more on IMDbPro »
6,Night School (2018),5.5,43,28,47,Comedy,"Budget:$29,000,000 (estimated)","Opening Weekend USA: $27,257,615, 30 September 2018, Wide Release","Gross USA: $71,433,050, 28 October 2018"
7,Bad Times at the El Royale (2018),7.4,60,73,75,Mystery & Suspense,"Budget:$32,000,000 (estimated)","Opening Weekend USA: $7,132,647, 14 October 2018, Wide Release","Gross USA: $16,548,243, 28 October 2018"
8,The Old Man & the Gun (2018),7.4,79,90,62,Drama,"Opening Weekend USA: $142,131, 30 September 2018, Limited Release","Gross USA: $7,177,129, 28 October 2018","Production Co: Condé Nast,Endgame Entertainment,Identity Films (I) See more »"
9,The House with a Clock in Its Walls (2018),6.2,57,66,48,Kids & Family,"Budget:$42,000,000 (estimated)","Opening Weekend USA: $26,608,020, 23 September 2018, Wide Release","Gross USA: $66,523,980, 28 October 2018"
10,Free Solo (2018),8.7,83,98,95,Documentary,"Gross USA: $4,116,332, 25 October 2018","Production Co: Little Monster Films,National Geographic,Parkes+MacDonald Image Nation See more »",Show more on IMDbPro »
11,The Sisters Brothers (2018),7.2,78,85,64,Drama,"Opening Weekend USA: $115,575, 23 September 2018, Limited Release","Gross USA: $2,749,543, 28 October 2018","Production Co: Why Not Productions,Page 114,Annapurna Pictures See more »"
12,Colette (2018),7,74,87,75,Drama,"Opening Weekend USA: $161,179, 23 September 2018, Limited Release","Gross USA: $4,411,936, 28 October 2018","Production Co: Number 9 Films,Killer Films,Bold Films See more »"
13,Crazy Rich Asians (2018),7.5,74,91,80,Comedy,"Budget:$30,000,000 (estimated)","Opening Weekend USA: $26,510,140, 19 August 2018, Wide Release","Gross USA: $172,825,178, 28 October 2018"
14,The Nun (2018),5.7,46,26,40,Horror,"Budget:$22,000,000 (estimated)","Opening Weekend USA: $53,807,379, 9 September 2018, Wide Release","Gross USA: $117,060,762, 28 October 2018"
15,Beautiful Boy (2018),7.3,63,67,77,Drama,"Opening Weekend USA: $218,888, 14 October 2018, Limited Release","Gross USA: $1,495,815, 28 October 2018","Production Co: Amazon Studios,Big Indie Pictures,Plan B Entertainment See more »"
16,A Simple Favor (2018),7.1,67,85,79,Drama,"Budget:$20,000,000 (estimated)","Opening Weekend USA: $16,050,000, 14 September 2018, Wide Release","Gross USA: $53,225,905, 28 October 2018"
17,Mid90s (2018),7.8,67,78,87,Comedy,"Opening Weekend USA: $258,157, 21 October 2018, Limited Release","Gross USA: $3,330,676, 28 October 2018","Production Co: A24,Waypoint Entertainment See more »"
18,The Oath (2018),5.2,58,59,60,Comedy,"Gross USA: $387,391, 28 October 2018","Production Co: Aperture Media Productions,QC Entertainment,Topic Studios See more »",Show more on IMDbPro »
19,Incredibles 2 (2018),8,80,94,87,Action & Adventure,"Budget:$200,000,000 (estimated)","Opening Weekend USA: $182,687,905, 17 June 2018, Wide Release","Gross USA: $607,899,050, 28 October 2018"
20,Can You Ever Forgive Me? (2018),7.2,88,99,91,Drama,"Opening Weekend USA: $161,510, 21 October 2018, Limited Release","Gross USA: $586,504, 28 October 2018","Production Co: Archer Gray,Fox Searchlight Pictures See more »"
21,The Meg (2018),5.9,46,45,49,Action & Adventure,"Budget:$130,000,000 (estimated)","Opening Weekend USA: $45,402,195, 12 August 2018, Wide Release","Gross USA: $142,976,043, 28 October 2018"
22,Hotel Transylvania 3: Summer Vacation (2018),6.3,54,58,48,Animation,"Opening Weekend USA: $44,076,225, 15 July 2018, Wide Release","Gross USA: $167,321,691, 28 October 2018","Cumulative Worldwide Gross: $426,104,170, 19 August 2018"
23,The Wife (2017),7.3,77,85,80,Drama,"Opening Weekend USA: $108,284, 19 August 2018, Limited Release","Gross USA: $7,608,506, 28 October 2018","Production Co: Tempo Productions Limited,Anonymous Content,Film i Väst See more »"
24,Peppermint (2018),6.6,29,9,76,Mystery & Suspense,"Opening Weekend USA: $13,423,255, 9 September 2018, Wide Release","Gross USA: $35,400,097, 28 October 2018","Production Co: Huayi Brothers,Lakeshore Entertainment,STXfilms See more »"
25,The Predator (2018),5.9,48,32,43,Action & Adventure,"Budget:$88,000,000 (estimated)","Opening Weekend USA: $24,632,284, 16 September 2018, Wide Release","Gross USA: $50,923,296, 28 October 2018"
26,Christopher Robin (2018),7.6,60,71,86,Action & Adventure,"Budget:$75,000,000 (estimated)","Opening Weekend USA: $24,585,139, 5 August 2018, Wide Release","Gross USA: $98,835,109, 28 October 2018"
27,The Guilty (2018),7.8,82,98,100,Mystery & Suspense,"Opening Weekend USA: $60,050, 21 October 2018, Limited Release","Gross USA: $129,694, 28 October 2018","Production Co: Nordisk Film / SPRING,Nordisk Film Production,Det Danske Filminstitut See more »"
28,The Happy Prince (2018),6.4,64,72,71,Drama,"Opening Weekend: €208,502 (Italy), 15 April 2018, Limited Release","Opening Weekend USA: $38,886, 14 October 2018, Limited Release","Gross USA: $223,990, 28 October 2018"
